date,campaign,cost
2026-04-28,Google Search - Brand,6200
2026-04-28,Google Shopping,6800
2026-04-28,Google Display,3100
2026-04-29,Google Search - Brand,6500
2026-04-29,Google Shopping,7100
2026-04-29,Google Display,2900
2026-04-30,Google Search - Brand,6300
2026-04-30,Google Shopping,6600
2026-04-30,Google Display,3200
2026-05-01,Google Search - Brand,7000
2026-05-01,Google Shopping,7400
2026-05-01,Google Display,3400
2026-05-02,Google Search - Brand,7200
2026-05-02,Google Shopping,7800
2026-05-02,Google Display,3300
2026-05-03,Google Search - Brand,5900
2026-05-03,Google Shopping,6200
2026-05-03,Google Display,2800
2026-05-04,Google Search - Brand,5700
2026-05-04,Google Shopping,6000
2026-05-04,Google Display,2700
2026-05-05,Google Search - Brand,6400
2026-05-05,Google Shopping,7000
2026-05-05,Google Display,3000
2026-05-06,Google Search - Brand,6800
2026-05-06,Google Shopping,7300
2026-05-06,Google Display,3200
2026-05-07,Google Search - Brand,7100
2026-05-07,Google Shopping,7600
2026-05-07,Google Display,3400
2026-05-08,Google Search - Brand,6100
2026-05-08,Google Shopping,6700
2026-05-08,Google Display,2900
2026-05-09,Google Search - Brand,5800
2026-05-09,Google Shopping,6400
2026-05-09,Google Display,2800
2026-05-10,Google Search - Brand,6600
2026-05-10,Google Shopping,7200
2026-05-10,Google Display,3100
2026-05-11,Google Search - Brand,6900
2026-05-11,Google Shopping,7500
2026-05-11,Google Display,3300
2026-05-12,Google Search - Brand,7400
2026-05-12,Google Shopping,8100
2026-05-12,Google Display,3600
2026-05-13,Google Search - Brand,7300
2026-05-13,Google Shopping,7900
2026-05-13,Google Display,3500
2026-05-14,Google Search - Brand,6200
2026-05-14,Google Shopping,6800
2026-05-14,Google Display,3000
2026-05-15,Google Search - Brand,6400
2026-05-15,Google Shopping,7100
2026-05-15,Google Display,3100
2026-05-16,Google Search - Brand,6800
2026-05-16,Google Shopping,7400
2026-05-16,Google Display,3200
2026-05-17,Google Search - Brand,7000
2026-05-17,Google Shopping,7700
2026-05-17,Google Display,3400
2026-05-18,Google Search - Brand,7300
2026-05-18,Google Shopping,8000
2026-05-18,Google Display,3500
2026-05-19,Google Search - Brand,7600
2026-05-19,Google Shopping,8300
2026-05-19,Google Display,3700
2026-05-20,Google Search - Brand,5900
2026-05-20,Google Shopping,6600
2026-05-20,Google Display,2800
2026-05-21,Google Search - Brand,5800
2026-05-21,Google Shopping,6500
2026-05-21,Google Display,2700
2026-05-22,Google Search - Brand,6600
2026-05-22,Google Shopping,7200
2026-05-22,Google Display,3100
2026-05-23,Google Search - Brand,7000
2026-05-23,Google Shopping,7600
2026-05-23,Google Display,3300
2026-05-24,Google Search - Brand,7200
2026-05-24,Google Shopping,7900
2026-05-24,Google Display,3500
2026-05-25,Google Search - Brand,7500
2026-05-25,Google Shopping,8200
2026-05-25,Google Display,3700
2026-05-26,Google Search - Brand,7800
2026-05-26,Google Shopping,8500
2026-05-26,Google Display,3800
2026-05-27,Google Search - Brand,7300
2026-05-27,Google Shopping,8000
2026-05-27,Google Display,3600
