date,campaign name,amount spent
2026-04-28,Meta Retargeting,4100
2026-04-28,Meta Prospecting,6100
2026-04-29,Meta Retargeting,4300
2026-04-29,Meta Prospecting,6400
2026-04-30,Meta Retargeting,4000
2026-04-30,Meta Prospecting,5800
2026-05-01,Meta Retargeting,4600
2026-05-01,Meta Prospecting,6800
2026-05-02,Meta Retargeting,4900
2026-05-02,Meta Prospecting,7200
2026-05-03,Meta Retargeting,3800
2026-05-03,Meta Prospecting,5500
2026-05-04,Meta Retargeting,3700
2026-05-04,Meta Prospecting,5300
2026-05-05,Meta Retargeting,4200
2026-05-05,Meta Prospecting,6500
2026-05-06,Meta Retargeting,4500
2026-05-06,Meta Prospecting,6700
2026-05-07,Meta Retargeting,4800
2026-05-07,Meta Prospecting,7000
2026-05-08,Meta Retargeting,4100
2026-05-08,Meta Prospecting,6200
2026-05-09,Meta Retargeting,3900
2026-05-09,Meta Prospecting,5900
2026-05-10,Meta Retargeting,4400
2026-05-10,Meta Prospecting,6600
2026-05-11,Meta Retargeting,4600
2026-05-11,Meta Prospecting,6900
2026-05-12,Meta Retargeting,5100
2026-05-12,Meta Prospecting,7500
2026-05-13,Meta Retargeting,5000
2026-05-13,Meta Prospecting,7300
2026-05-14,Meta Retargeting,4200
2026-05-14,Meta Prospecting,6300
2026-05-15,Meta Retargeting,4300
2026-05-15,Meta Prospecting,6500
2026-05-16,Meta Retargeting,4600
2026-05-16,Meta Prospecting,6700
2026-05-17,Meta Retargeting,4800
2026-05-17,Meta Prospecting,7000
2026-05-18,Meta Retargeting,5000
2026-05-18,Meta Prospecting,7400
2026-05-19,Meta Retargeting,5200
2026-05-19,Meta Prospecting,7700
2026-05-20,Meta Retargeting,4000
2026-05-20,Meta Prospecting,6100
2026-05-21,Meta Retargeting,3900
2026-05-21,Meta Prospecting,5900
2026-05-22,Meta Retargeting,4400
2026-05-22,Meta Prospecting,6600
2026-05-23,Meta Retargeting,4700
2026-05-23,Meta Prospecting,6900
2026-05-24,Meta Retargeting,5000
2026-05-24,Meta Prospecting,7200
2026-05-25,Meta Retargeting,5200
2026-05-25,Meta Prospecting,7600
2026-05-26,Meta Retargeting,5400
2026-05-26,Meta Prospecting,7900
2026-05-27,Meta Retargeting,5100
2026-05-27,Meta Prospecting,7500
