date,total
2026-04-28,68400
2026-04-29,72100
2026-04-30,65800
2026-05-01,82300
2026-05-02,87400
2026-05-03,62100
2026-05-04,60500
2026-05-05,74200
2026-05-06,79800
2026-05-07,84600
2026-05-08,71200
2026-05-09,68400
2026-05-10,77900
2026-05-11,81500
2026-05-12,91800
2026-05-13,89300
2026-05-14,72100
2026-05-15,75400
2026-05-16,81200
2026-05-17,84700
2026-05-18,90200
2026-05-19,94500
2026-05-20,69800
2026-05-21,68100
2026-05-22,78400
2026-05-23,84200
2026-05-24,88700
2026-05-25,93200
2026-05-26,96800
2026-05-27,90200
